日期,确诊,治愈,死亡,新增确诊
1.26,46,0,0,13
1.27,51,0,0,5
1.28,58,2,0,7
1.29,78,2,0,20
1.30,87,2,0,9
1.31,100,2,0,13
2.1,111,2,0,11
2.2,127,2,0,16
2.3,139,7,0,12
2.4,150,10,0,11
2.5,168,14,0,18
2.6,172,17,0,4
2.7,183,17,0,11
2.8,195,18,1,12
2.9,210,18,1,15
2.10,215,30,1,5
2.11,222,31,1,7
2.12,222,33,2,0
2.13,226,35,2,4
2.14,235,40,2,9
2.15,237,46,2,2
2.16,238,51,2,1
2.17,242,58,2,4
2.18,244,76,2,2
2.19,245,87,2,1
2.20,246,95,2,1
2.21,249,99,2,3
2.22,249,104,2,0
2.23,251,107,2,2
2.24,252,129,2,1
2.25,252,138,2,0
2.26,252,159,2,0
2.27,252,166,2,0
2.28,252,172,2,0
2.29,252,179,2,0
3.1,252,188,2,0
3.2,252,202,2,0
3.3,252,210,2,0
3.4,252,213,2,0
3.5,252,217,2,0
3.6,252,219,2,0
3.7,252,223,2,0
3.8,252,230,2,0
3.9,252,234,2,0
3.10,252,237,2,0
3.11,252,241,2,0
3.12,252,243,2,0
3.13,252,243,2,0
3.14,252,243,2,0
3.15,252,247,2,0
3.16,253,248,2,1
3.17,253,250,2,0
3.18,253,250,2,0
3.19,254,250,2,1
3.20,254,250,2,0
3.21,254,250,2,0
3.22,254,250,2,0
3.23,254,250,2,0
3.24,254,250,2,0
3.25,254,250,2,0
3.26,254,250,2,0
3.27,254,250,2,0
3.28,254,250,2,0
3.29,254,250,2,0
3.30,254,250,2,0
3.31,254,250,2,0
4.1,254,252,2,0
4.2,254,252,2,0
4.3,254,252,2,0
4.4,254,252,2,0
4.5,254,252,2,0
4.6,254,252,2,0
4.7,254,252,2,0
4.8,254,252,2,0
4.9,254,252,2,0
4.10,254,252,2,0
4.11,254,252,2,0
4.12,254,252,2,0
4.13,254,252,2,0
4.14,254,252,2,0
4.15,254,252,2,0
4.16,254,252,2,0
4.17,254,252,2,0
4.18,254,252,2,0
4.19,254,252,2,0
4.20,254,252,2,0
4.21,254,252,2,0
4.22,254,252,2,0
4.23,254,252,2,0
4.24,254,252,2,0
4.25,254,252,2,0
4.26,254,252,2,0
4.27,254,252,2,0
4.28,254,252,2,0
4.29,254,252,2,0
4.30,254,252,2,0
5.1,254,252,2,0
5.2,254,252,2,0
5.3,254,252,2,0
5.4,254,252,2,0
5.5,254,252,2,0
5.6,254,252,2,0
5.7,254,252,2,0
5.8,254,252,2,0
5.9,254,252,2,0
5.10,254,252,2,0
5.11,254,252,2,0
5.12,254,252,2,0
5.13,254,252,2,0
5.14,254,252,2,0
5.15,254,252,2,0
5.16,254,252,2,0
5.17,254,252,2,0
5.18,254,252,2,0
5.19,254,252,2,0
5.20,254,252,2,0
5.21,254,252,2,0
5.22,254,252,2,0
5.23,254,252,2,0
5.24,254,252,2,0
5.25,254,252,2,0
5.26,254,252,2,0
5.27,254,252,2,0
5.28,254,252,2,0
5.29,254,252,2,0
5.30,254,252,2,0
5.31,254,252,2,0
6.1,254,252,2,0
6.2,254,252,2,0
6.3,254,252,2,0
6.4,254,252,2,0
6.5,254,252,2,0
6.6,254,252,2,0
6.7,254,252,2,0
6.8,254,252,2,0
6.9,254,252,2,0
6.10,254,252,2,0
6.11,254,252,2,0
6.12,254,252,2,0
6.13,254,252,2,0
6.14,254,252,2,0
6.15,254,252,2,0
6.16,254,252,2,0
6.17,254,252,2,0
6.18,254,252,2,0
6.19,254,252,2,0
6.20,254,252,2,0
6.21,254,252,2,0
6.22,254,252,2,0
6.23,254,252,2,0
6.24,254,252,2,0
6.25,254,252,2,0
6.26,254,252,2,0
6.27,254,252,2,0
6.28,254,252,2,0
6.29,254,252,2,0
6.30,254,252,2,0
7.1,254,252,2,0
7.2,254,252,2,0
7.3,254,252,2,0
7.4,254,252,2,0
7.5,254,252,2,0
7.6,254,252,2,0
7.7,254,252,2,0
7.8,254,252,2,0
7.9,254,252,2,0
7.10,254,252,2,0
7.11,254,252,2,0
7.12,254,252,2,0
7.13,254,252,2,0
7.14,254,252,2,0
7.15,254,252,2,0
7.16,255,252,2,1
7.17,255,252,2,0
7.18,255,252,2,0
7.19,255,252,2,0
7.20,255,252,2,0
7.21,255,252,2,0
7.22,255,253,2,0
7.23,255,253,2,0
7.24,255,253,2,0
7.25,255,253,2,0
7.26,255,253,2,0
7.27,255,253,2,0
7.28,255,253,2,0
7.29,255,253,2,0
7.30,255,253,2,0
7.31,255,253,2,0
8.1,255,253,2,0
8.2,255,253,2,0
8.3,255,253,2,0
8.4,255,253,2,0
8.5,255,253,2,0
8.6,255,253,2,0
8.7,255,253,2,0
8.8,255,253,2,0
8.9,255,253,2,0
8.10,255,253,2,0
8.11,255,253,2,0
8.12,255,253,2,0
8.13,255,253,2,0
8.14,255,253,2,0
8.15,255,253,2,0
8.16,255,253,2,0
8.17,255,253,2,0
8.18,255,253,2,0
8.19,255,253,2,0
8.20,255,253,2,0
8.21,255,253,2,0
8.22,255,253,2,0
8.23,255,253,2,0
8.24,255,253,2,0
8.25,255,253,2,0
8.26,255,253,2,0
8.27,255,253,2,0
8.28,255,253,2,0
8.29,255,253,2,0
8.30,255,253,2,0
8.31,255,253,2,0
9.1,255,253,2,0
9.2,255,253,2,0
9.3,257,253,2,2
9.4,257,253,2,0
9.5,257,253,2,0
9.6,257,253,2,0
9.7,257,253,2,0
9.8,257,253,2,0
9.9,257,253,2,0
9.10,257,253,2,0
9.11,257,253,2,0
9.12,258,253,2,1
9.13,258,253,2,0
9.14,258,253,2,0
9.15,258,253,2,0
9.16,258,253,2,0
9.17,258,253,2,0
9.18,258,253,2,0
9.19,258,253,2,0
9.20,258,253,2,0
9.21,258,254,2,0
9.22,258,254,2,0
9.23,259,254,2,1
9.24,259,254,2,0
9.25,259,254,2,0
9.26,259,254,2,0
9.27,259,254,2,0
9.28,259,254,2,0
9.29,259,254,2,0
9.30,259,255,2,0
10.1,259,255,2,0
10.2,259,255,2,0
10.3,260,255,2,1
10.4,260,255,2,0
10.5,260,255,2,0
10.6,260,255,2,0
10.7,260,255,2,0
10.8,260,255,2,0
10.9,260,256,2,0
10.10,260,256,2,0
10.11,260,256,2,0
10.12,260,256,2,0
10.13,260,256,2,0
10.14,260,256,2,0
10.15,260,256,2,0
10.16,260,257,2,0
10.17,260,258,2,0
10.18,260,258,2,0
10.19,260,258,2,0
10.20,260,258,2,0
10.21,260,258,2,0
10.22,260,258,2,0
10.23,260,258,2,0
10.24,260,258,2,0
10.25,260,258,2,0
10.26,260,258,2,0
10.27,260,258,2,0
10.28,260,258,2,0
10.29,260,258,2,0
10.30,260,258,2,0
10.31,260,258,2,0
11.1,260,258,2,0
11.2,260,258,2,0
11.3,260,258,2,0
11.4,260,258,2,0
11.5,260,258,2,0
11.6,260,258,2,0
11.7,260,258,2,0
11.8,260,258,2,0
11.9,260,258,2,0
11.10,260,258,2,0
11.11,260,258,2,0
11.12,260,258,2,0
11.13,260,258,2,0
11.14,260,258,2,0
11.15,260,258,2,0
11.16,260,258,2,0
11.17,260,258,2,0
11.18,262,258,2,2
11.19,262,258,2,0
11.20,262,258,2,0
11.21,263,258,2,1
11.22,263,258,2,0
11.23,263,258,2,0
11.24,263,258,2,0
11.25,263,258,2,0
11.26,263,258,2,0
11.27,263,258,2,0
11.28,263,258,2,0
11.29,263,258,2,0
11.30,263,259,2,0
12.1,263,259,2,0
12.2,263,260,2,0
12.3,263,260,2,0
12.4,263,260,2,0
12.5,263,260,2,0
12.6,263,260,2,0
12.7,263,260,2,0
12.8,264,261,2,1
12.9,264,261,2,0
12.10,264,261,2,0
12.11,264,261,2,0
12.12,264,261,2,0
12.13,264,261,2,0
12.14,264,261,2,0
12.15,264,261,2,0
12.16,264,261,2,0
12.17,264,261,2,0
12.18,264,261,2,0
